// Calibration coefficients for GSFMA305
// HPGe energies only
// First column - detector ID; Second column - no. of polynomials 
// then the coefficients starting with offset
//
//
//
//
//
//  Do not delete or remove the first ten lines of this file.
110
94	5 -9.03430800213E-02  1.00158015177E+00 -2.10356029275E-06  9.12818063063E-11  1.60572680395E-12 -7.85845519299E-16
95	5 -5.90566798482E-03  1.00262839301E+00 -6.72293208511E-06  8.85411563194E-09 -5.57331898779E-12  1.30733895351E-15
96	5 -9.19021352739E-03  1.00219860210E+00 -3.62689641537E-06  2.55845021885E-09 -5.61815442000E-13 -7.34826878231E-17
97	5 -2.17181485503E-01  1.00257287650E+00 -5.29765494737E-06  5.46934505509E-09 -2.59267364741E-12  4.18868899252E-16
98	5 -5.61278561683E-01  1.00326450638E+00 -5.18883546599E-06  3.53256292221E-09 -7.75881493924E-13 -7.93395697099E-17
99	5  2.95540394636E-02  1.00240371785E+00 -5.93472880497E-06  6.86228610659E-09 -3.69983074054E-12  7.28088000288E-16
100	5 -1.88244848223E-01  1.00210222294E+00 -2.39169600765E-06  2.89440420774E-10  1.17298862367E-12 -5.57972479808E-16
101	5 -3.12059210057E-01  1.00304700315E+00 -6.27265718958E-06  6.80547550832E-09 -3.55714538129E-12  7.01193416183E-16
102	5 -2.68364145981E-01  1.00296059155E+00 -7.08037185921E-06  8.28138701922E-09 -4.66064681080E-12  9.74894307316E-16
103	5 -8.84369882550E-02  1.00190576683E+00 -2.99311841918E-06  1.80875891068E-09  2.91702264940E-13 -4.35865985668E-16
104	5 -6.23443607458E-02  1.00156483605E+00 -1.08761152883E-06 -1.69081974273E-09  2.95143559944E-12 -1.12138385014E-15
105	5  8.08952922013E-01  9.92084046468E-01  3.72741256773E-05 -7.10523067211E-08  5.90805407702E-11 -1.76694741221E-14
106	5 -6.27204011481E-01  1.00406571085E+00 -5.96846831837E-06  3.58447769133E-09  3.71232517565E-13 -6.34961875486E-16
107	5  1.81846993835E-01  1.00123072792E+00 -2.92944995171E-06  4.10732728083E-09 -2.68045534565E-12  6.26321824549E-16
108	5 -9.82270463903E-02  1.00005081475E+00  5.59281608294E-06 -1.36535106760E-08  1.22845529583E-11 -3.73171258515E-15
109  	0  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00  0.00000000000E-00
110	5 -7.51723126499E-02  1.00056901660E+00  2.50909233255E-06 -8.53358099810E-09  8.75852426177E-12 -2.86018009670E-15
